tissue,mouse_id,age_months,sex,n_cells
Kidney,30-M-5,18m,female,0
Kidney,30-M-5,18m,male,0
Kidney,30-M-5,21m,female,0
Kidney,30-M-5,21m,male,0
Kidney,30-M-5,24m,female,0
Kidney,30-M-5,24m,male,0
Kidney,30-M-5,30m,female,0
Kidney,30-M-5,30m,male,67
Heart_and_Aorta,1-M-63,1m,female,0
Heart_and_Aorta,1-M-63,1m,male,738
Heart_and_Aorta,1-M-63,3m,female,0
Heart_and_Aorta,1-M-63,3m,male,0
Heart_and_Aorta,1-M-63,18m,female,0
Heart_and_Aorta,1-M-63,18m,male,0
Heart_and_Aorta,1-M-63,21m,female,0
Heart_and_Aorta,1-M-63,21m,male,0
Heart_and_Aorta,1-M-63,24m,female,0
Heart_and_Aorta,1-M-63,24m,male,0
Heart_and_Aorta,1-M-63,30m,female,0
Heart_and_Aorta,1-M-63,30m,male,0
Heart_and_Aorta,3-F-56,1m,female,0
Heart_and_Aorta,3-F-56,1m,male,0
Heart_and_Aorta,3-F-56,3m,female,360
Heart_and_Aorta,3-F-56,3m,male,0
Heart_and_Aorta,3-F-56,18m,female,0
Heart_and_Aorta,3-F-56,18m,male,0
Heart_and_Aorta,3-F-56,21m,female,0
Heart_and_Aorta,3-F-56,21m,male,0
Heart_and_Aorta,3-F-56,24m,female,0
Heart_and_Aorta,3-F-56,24m,male,0
Heart_and_Aorta,3-F-56,30m,female,0
Heart_and_Aorta,3-F-56,30m,male,0
Heart_and_Aorta,18-F-50,1m,female,0
Heart_and_Aorta,18-F-50,1m,male,0
Heart_and_Aorta,18-F-50,3m,female,0
Heart_and_Aorta,18-F-50,3m,male,0
Heart_and_Aorta,18-F-50,18m,female,387
Heart_and_Aorta,18-F-50,18m,male,0
Heart_and_Aorta,18-F-50,21m,female,0
Heart_and_Aorta,18-F-50,21m,male,0
Heart_and_Aorta,18-F-50,24m,female,0
Heart_and_Aorta,18-F-50,24m,male,0
Heart_and_Aorta,18-F-50,30m,female,0
Heart_and_Aorta,18-F-50,30m,male,0
Heart_and_Aorta,18-M-52,1m,female,0
Heart_and_Aorta,18-M-52,1m,male,0
Heart_and_Aorta,18-M-52,3m,female,0
Heart_and_Aorta,18-M-52,3m,male,0
Heart_and_Aorta,18-M-52,18m,female,0
Heart_and_Aorta,18-M-52,18m,male,192
Heart_and_Aorta,18-M-52,21m,female,0
Heart_and_Aorta,18-M-52,21m,male,0
Heart_and_Aorta,18-M-52,24m,female,0
Heart_and_Aorta,18-M-52,24m,male,0
Heart_and_Aorta,18-M-52,30m,female,0
Heart_and_Aorta,18-M-52,30m,male,0
Heart_and_Aorta,18-M-53,1m,female,0
Heart_and_Aorta,18-M-53,1m,male,0
Heart_and_Aorta,18-M-53,3m,female,0
Heart_and_Aorta,18-M-53,3m,male,0
Heart_and_Aorta,18-M-53,18m,female,0
Heart_and_Aorta,18-M-53,18m,male,167
Heart_and_Aorta,18-M-53,21m,female,0
Heart_and_Aorta,18-M-53,21m,male,0
Heart_and_Aorta,18-M-53,24m,female,0
Heart_and_Aorta,18-M-53,24m,male,0
Heart_and_Aorta,18-M-53,30m,female,0
Heart_and_Aorta,18-M-53,30m,male,0
Heart_and_Aorta,21-F-54,1m,female,0
Heart_and_Aorta,21-F-54,1m,male,0
Heart_and_Aorta,21-F-54,3m,female,0
Heart_and_Aorta,21-F-54,3m,male,0
Heart_and_Aorta,21-F-54,18m,female,0
Heart_and_Aorta,21-F-54,18m,male,0
Heart_and_Aorta,21-F-54,21m,female,268
Heart_and_Aorta,21-F-54,21m,male,0
Heart_and_Aorta,21-F-54,24m,female,0
Heart_and_Aorta,21-F-54,24m,male,0
Heart_and_Aorta,21-F-54,30m,female,0
Heart_and_Aorta,21-F-54,30m,male,0
Heart_and_Aorta,21-F-55,1m,female,0
Heart_and_Aorta,21-F-55,1m,male,0
Heart_and_Aorta,21-F-55,3m,female,0
Heart_and_Aorta,21-F-55,3m,male,0
Heart_and_Aorta,21-F-55,18m,female,0
Heart_and_Aorta,21-F-55,18m,male,0
Heart_and_Aorta,21-F-55,21m,female,310
Heart_and_Aorta,21-F-55,21m,male,0
Heart_and_Aorta,21-F-55,24m,female,0
Heart_and_Aorta,21-F-55,24m,male,0
Heart_and_Aorta,21-F-55,30m,female,0
Heart_and_Aorta,21-F-55,30m,male,0
Heart_and_Aorta,24-M-58,1m,female,0
Heart_and_Aorta,24-M-58,1m,male,0
Heart_and_Aorta,24-M-58,3m,female,0
Heart_and_Aorta,24-M-58,3m,male,0
Heart_and_Aorta,24-M-58,18m,female,0
Heart_and_Aorta,24-M-58,18m,male,0
Heart_and_Aorta,24-M-58,21m,female,0
Heart_and_Aorta,24-M-58,21m,male,0
Heart_and_Aorta,24-M-58,24m,female,0
Heart_and_Aorta,24-M-58,24m,male,251
Heart_and_Aorta,24-M-58,30m,female,0
Heart_and_Aorta,24-M-58,30m,male,0
Heart_and_Aorta,24-M-59,1m,female,0
Heart_and_Aorta,24-M-59,1m,male,0
Heart_and_Aorta,24-M-59,3m,female,0
Heart_and_Aorta,24-M-59,3m,male,0
Heart_and_Aorta,24-M-59,18m,female,0
Heart_and_Aorta,24-M-59,18m,male,0
Heart_and_Aorta,24-M-59,21m,female,0
Heart_and_Aorta,24-M-59,21m,male,0
Heart_and_Aorta,24-M-59,24m,female,0
Heart_and_Aorta,24-M-59,24m,male,278
Heart_and_Aorta,24-M-59,30m,female,0
Heart_and_Aorta,24-M-59,30m,male,0
Heart_and_Aorta,30-M-2,1m,female,0
Heart_and_Aorta,30-M-2,1m,male,0
Heart_and_Aorta,30-M-2,3m,female,0
Heart_and_Aorta,30-M-2,3m,male,0
Heart_and_Aorta,30-M-2,18m,female,0
Heart_and_Aorta,30-M-2,18m,male,0
Heart_and_Aorta,30-M-2,21m,female,0
Heart_and_Aorta,30-M-2,21m,male,0
Heart_and_Aorta,30-M-2,24m,female,0
Heart_and_Aorta,30-M-2,24m,male,0
Heart_and_Aorta,30-M-2,30m,female,0
Heart_and_Aorta,30-M-2,30m,male,3073
Heart_and_Aorta,30-M-3,1m,female,0
Heart_and_Aorta,30-M-3,1m,male,0
Heart_and_Aorta,30-M-3,3m,female,0
Heart_and_Aorta,30-M-3,3m,male,0
Heart_and_Aorta,30-M-3,18m,female,0
Heart_and_Aorta,30-M-3,18m,male,0
Heart_and_Aorta,30-M-3,21m,female,0
Heart_and_Aorta,30-M-3,21m,male,0
Heart_and_Aorta,30-M-3,24m,female,0
Heart_and_Aorta,30-M-3,24m,male,0
Heart_and_Aorta,30-M-3,30m,female,0
Heart_and_Aorta,30-M-3,30m,male,114
